id,url,model_verdict,user_verdict,user_comment,timestamp
13,https://yandex.ru/images/search?img_url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FI1UVCAJ2dTY%2Fmaxresdefault.jpg&lr=10&pos=0&rpt=simage&source=serp&text=котики%20смешные,dangerous,safe,,2026-05-07 19:30:33
12,https://youtu.be/99RhDKQ-poo?si=5fhKAV4Q511Bxe3o,dangerous,safe,,2026-05-07 19:30:21
11,https://dzen.ru/?yq-dcf1a59e-93d3-4501-a6c3-f99ed28775ac,dangerous,safe,,2026-05-07 19:28:39
10,http://sdo.univ-orel.ru/,dangerous,safe,,2026-05-07 19:28:16
9,https://yandex.ru/search/?text=кот&lr=10&clid=6035464-165&win=695,dangerous,safe,,2026-05-07 19:27:57
8,https://oreluniver.ru/schedule,dangerous,safe,,2026-05-07 19:27:34
7,https://fikbooks.ru/,suspicious,safe,,2026-05-07 19:26:23
6,https://life.ru/p/951403,dangerous,safe,,2026-05-07 19:26:05
5,https://yandex.ru/search/?text=ккк&clid=6035464-165&win=695&lr=10,dangerous,safe,,2026-05-07 19:25:48
4,https://chatgpt.org/chat,dangerous,safe,,2026-05-07 19:25:05
3,https://url-analyzer-k1lf.onrender.com/admin/feedbacks,suspicious,safe,,2026-05-07 19:24:45
2,https://premier.one/,suspicious,safe,,2026-05-07 19:24:17
1,https://github.com/urlanalyzer95/url-analyzer/tree/main,dangerous,safe,,2026-05-07 19:24:00
